s,x,y,theta,d_min,d_max,left_x,left_y,right_x,right_y
0,0.5,0,0,-0.8,0.8,0.5,0.8,0.5,-0.8
0.1,0.6,0,0,-0.8,0.8,0.6,0.8,0.6,-0.8
0.2,0.7,0,0,-0.76,0.8,0.7,0.8,0.7,-0.76
0.3,0.8,0,0,-0.72,0.8,0.8,0.8,0.8,-0.72
0.4,0.9,0,0,-0.68,0.8,0.9,0.8,0.9,-0.68
0.5,1,0,0,-0.64,0.8,1,0.8,1,-0.64
0.6,1.1,0,0,-0.6,0.8,1.1,0.8,1.1,-0.6
0.7,1.2,0,0,-0.56,0.8,1.2,0.8,1.2,-0.56
0.8,1.3,0,0,-0.52,0.8,1.3,0.8,1.3,-0.52
0.9,1.4,0,0,-0.48,0.8,1.4,0.8,1.4,-0.48
1,1.5,0,0,-0.44,0.8,1.5,0.8,1.5,-0.44
1.1,1.6,0,0,-0.4,0.8,1.6,0.8,1.6,-0.4
1.2,1.7,0,0,-0.36,0.8,1.7,0.8,1.7,-0.36
1.3,1.8,0,0,-0.32,0.8,1.8,0.8,1.8,-0.32
1.4,1.9,0,0,-0.28,0.8,1.9,0.8,1.9,-0.28
1.5,2,0,0,-0.24,0.8,2,0.8,2,-0.24
1.6,2.1,0,0,-0.2,0.8,2.1,0.8,2.1,-0.2
1.7,2.2,0,0,-0.16,0.8,2.2,0.8,2.2,-0.16
1.8,2.3,0,0,-0.12,0.8,2.3,0.8,2.3,-0.12
1.9,2.4,0,0,-0.08,0.8,2.4,0.8,2.4,-0.08
2,2.5,0,0,-0.04,0.8,2.5,0.8,2.5,-0.04
2.1,2.6,0,0,2.498e-16,0.8,2.6,0.8,2.6,2.498e-16
2.2,2.7,0,0,0.04,0.8,2.7,0.8,2.7,0.04
2.3,2.8,0,0,0.08,0.8,2.8,0.8,2.8,0.08
2.4,2.9,0,0,0.12,0.8,2.9,0.8,2.9,0.12
2.5,3,0,0,0.16,0.8,3,0.8,3,0.16
2.6,3.1,0,0,0.16,0.8,3.1,0.8,3.1,0.16
2.7,3.2,0,0,0.16,0.8,3.2,0.8,3.2,0.16
2.8,3.3,0,0,0.16,0.8,3.3,0.8,3.3,0.16
2.9,3.4,0,0,0.16,0.8,3.4,0.8,3.4,0.16
3,3.5,0,0,0.16,0.8,3.5,0.8,3.5,0.16
3.1,3.6,0,0,0.16,0.8,3.6,0.8,3.6,0.16
3.2,3.7,0,0,0.16,0.8,3.7,0.8,3.7,0.16
3.3,3.8,0,0,0.16,0.8,3.8,0.8,3.8,0.16
3.4,3.9,0,0,0.16,0.8,3.9,0.8,3.9,0.16
3.5,4,0,0,0.16,0.8,4,0.8,4,0.16
3.6,4.1,0,0,0.16,0.8,4.1,0.8,4.1,0.16
3.7,4.2,0,0,0.16,0.8,4.2,0.8,4.2,0.16
3.8,4.3,0,0,0.16,0.8,4.3,0.8,4.3,0.16
3.9,4.4,0,0,0.16,0.8,4.4,0.8,4.4,0.16
4,4.5,0,0,0.16,0.8,4.5,0.8,4.5,0.16
4.1,4.6,0,0,0.16,0.8,4.6,0.8,4.6,0.16
4.2,4.7,0,0,0.16,0.8,4.7,0.8,4.7,0.16
4.3,4.8,0,0,0.16,0.8,4.8,0.8,4.8,0.16
4.4,4.9,0,0,0.16,0.76,4.9,0.76,4.9,0.16
4.5,5,0,0,0.16,0.72,5,0.72,5,0.16
4.6,5.1,0,0,0.16,0.68,5.1,0.68,5.1,0.16
4.7,5.2,0,0,0.16,0.64,5.2,0.64,5.2,0.16
4.8,5.3,0,0,0.16,0.6,5.3,0.6,5.3,0.16
4.9,5.4,0,0,0.16,0.56,5.4,0.56,5.4,0.16
5,5.5,0,0,0.16,0.52,5.5,0.52,5.5,0.16
5.1,5.6,0,0,0.12,0.48,5.6,0.48,5.6,0.12
5.2,5.7,0,0,0.08,0.44,5.7,0.44,5.7,0.08
5.3,5.8,0,0,0.04,0.4,5.8,0.4,5.8,0.04
5.4,5.9,0,0,9.29812e-16,0.36,5.9,0.36,5.9,9.29812e-16
5.5,6,0,0,-0.04,0.32,6,0.32,6,-0.04
5.6,6.1,0,0,-0.08,0.28,6.1,0.28,6.1,-0.08
5.7,6.2,0,0,-0.12,0.24,6.2,0.24,6.2,-0.12
5.8,6.3,0,0,-0.16,0.2,6.3,0.2,6.3,-0.16
5.9,6.4,0,0,-0.2,0.16,6.4,0.16,6.4,-0.2
6,6.5,0,0,-0.24,0.12,6.5,0.12,6.5,-0.24
6.1,6.6,0,0,-0.28,0.08,6.6,0.08,6.6,-0.28
6.2,6.7,0,0,-0.32,0.04,6.7,0.04,6.7,-0.32
6.3,6.8,0,0,-0.36,-4.16334e-17,6.8,-4.16334e-17,6.8,-0.36
6.4,6.9,0,0,-0.4,-0.04,6.9,-0.04,6.9,-0.4
6.5,7,0,0,-0.44,-0.08,7,-0.08,7,-0.44
6.6,7.1,0,0,-0.48,-0.12,7.1,-0.12,7.1,-0.48
6.7,7.2,0,0,-0.52,-0.12,7.2,-0.12,7.2,-0.52
6.8,7.3,0,0,-0.56,-0.12,7.3,-0.12,7.3,-0.56
6.9,7.4,0,0,-0.6,-0.12,7.4,-0.12,7.4,-0.6
7,7.5,0,0,-0.64,-0.12,7.5,-0.12,7.5,-0.64
7.1,7.6,0,0,-0.68,-0.12,7.6,-0.12,7.6,-0.68
7.2,7.7,0,0,-0.72,-0.12,7.7,-0.12,7.7,-0.72
7.3,7.8,0,0,-0.76,-0.12,7.8,-0.12,7.8,-0.76
7.4,7.9,0,0,-0.8,-0.12,7.9,-0.12,7.9,-0.8
7.5,8,0,0,-0.8,-0.12,8,-0.12,8,-0.8
7.6,8.1,0,0,-0.8,-0.12,8.1,-0.12,8.1,-0.8
7.7,8.2,0,0,-0.8,-0.12,8.2,-0.12,8.2,-0.8
7.8,8.3,0,0,-0.8,-0.12,8.3,-0.12,8.3,-0.8
7.9,8.4,0,0,-0.8,-0.12,8.4,-0.12,8.4,-0.8
8,8.5,0,0,-0.8,-0.12,8.5,-0.12,8.5,-0.8
8.1,8.6,0,0,-0.8,-0.12,8.6,-0.12,8.6,-0.8
8.2,8.7,0,0,-0.8,-0.12,8.7,-0.12,8.7,-0.8
8.3,8.8,0,0,-0.70625,-0.12,8.8,-0.12,8.8,-0.70625
8.4,8.9,0,0,-0.6125,-0.12,8.9,-0.12,8.9,-0.6125
8.5,9,0,0,-0.51875,-0.12,9,-0.12,9,-0.51875
8.6,9.1,0,0,-0.425,-0.08,9.1,-0.08,9.1,-0.425
8.7,9.2,0,0,-0.33125,-0.04,9.2,-0.04,9.2,-0.33125
8.8,9.3,0,0,-0.2375,-4.16334e-17,9.3,-4.16334e-17,9.3,-0.2375
8.9,9.4,0,0,-0.14375,0.04,9.4,0.04,9.4,-0.14375
9,9.5,0,0,-0.05,0.05,9.5,0.05,9.5,-0.05
